No,名称,用途,"入手方法
※レアドロップはレアな空き缶4つ投入前提（住民4人体制）","必要数
主人公","必要数
住民","必要数
合計","所持数
アレスデータ","所持数
アリスデータ","残数
アレスデータ","残数
アリスデータ",備考
13,光るうろこ,装備強化筋力,ハインツ交易品 / レアドロップ約12%（レッドドラゴン）,0,41,41,,,41,41,多めに見積もり
14,黄金色のうろこ,装備強化体力,指名手配パーフェクトコンプリート報酬（毎日可）,3,33,36,,,36,36,
15,鋭い牙,ステップインブーツ材料,ハインツ交易品 / レアドロップ約12%（ライラプス）seed天空城2F,0,25,25,,,25,25,
16,ドクロ水晶,ゴーストシューズ材料,ハインツ交易品 / レアドロップ約12%（スカルドラゴン）,1,0,1,,,1,1,
17,戦士の証,ステップインブーツ / チャンピオンベルト材料,ハインツ交易品 / レアドロップ約12%（デッドツリー改）,1,45,46,30,,16,46,
18,首領の証,チャンピオンベルト材料,ハインツ交易品 / レアドロップ約12%（デッドツリー改）,1,20,21,30,,-9,21,
19,キュウビの鈴,スニーキングブーツ材料,ハインツ交易品 / コモンドロップ約68%（キュウビ）,1,20,21,30,,-9,21,
20,キレイなクモの糸,ストライダーブーツ材料（ハインツ交易品でストライダーブーツ買った方が楽そう）,ハインツ交易品 / レアドロップ約12%（アラクネ）,1,0,1,2,,-1,1,
21,高品質なもこフワ毛,もこもこのマフラー材料,ハインツ交易品 / レアドロップ約12%（モコモコキング）,2,0,2,30,30,-28,-28,
22,レッドコア,装備強化無属性耐性アップ用,クリスタルショップ / ハインツ交易品,14,30,44,30,30,14,14,
23,イエローコア,装備強化無属性耐性アップ用,クリスタルショップ / ハインツ交易品,14,30,44,30,30,14,14,
24,グリーンコア,装備強化無属性耐性アップ用,クリスタルショップ / ハインツ交易品,14,30,44,30,30,14,14,
25,ブルーコア,装備強化無属性耐性アップ用,クリスタルショップ / ハインツ交易品,14,30,44,30,30,14,14,
26,竜幻石,装備強化、天ノ村雲ノ剣/ 賢者の杖 / クラウン / 材料,リグバースの迷宮14回以降の竜鉱床の採掘,16,25,41,169,,,,
27,奇妙な触手,天ノ村雲ノ剣 / 不戦のロザリオ / タリスマン材料,ハインツ交易品 / レアドロップ約12%（デッドツリー改）,7,21,28,,,,,不戦のロザリオ、タリスマンはハインツ交易品で購入済み
28,岩石竜の粉,天ノ村雲ノ剣材料,ハインツ交易品 / レアドロップ約12%（デッドツリー改）,7,21,28,,,,,
29,赤竜の粉,天ノ村雲ノ剣材料,ハインツ交易品 / レアドロップ約12%（リンカーネイション）,7,21,28,,,,,
30,ハスの葉,タリスマン材料（ハインツ交易品でタリスマン買った方が楽そう）,ハインツ交易品 / レアドロップ約12%（ケロリ）,0,0,0,,,,,タリスマンはハインツ交易品で購入済み
31,ハガネプレート,パワードプロテクター材料,ハインツ交易品 / ドロップ不明（ニードルビースト、マーダービースト）,0,18,18,,,,,
32,危ないハサミ,パワードプロテクター材料,ハインツ交易品 / ドロップ不明（ダイヤモンドビー） ,0,18,18,,,,,
33,オリハルコン,パワードプロテクター材料（3つ必要）,リグバースの迷宮1F~13Fオリハルコン鉱床採掘,0,54,54,,,,,
34,歌の小瓶,装備強化状態異常用,ハインツ交易品 / コモンドロップ約68%（セイレーン）,0,42,42,,,,,
35,ホワイトストーン,クラウン / ロイヤルガーター材料（見た目なので趣味枠）,ドロップ不明だが中確率（レーヴァディア）,1,?,1,,,,,
36,おおきな金のカブ,装備強化気絶率アップ,農業巨大化（冬だと1.5倍、夏だと0.5倍）,7,0,7,,,,,
37,大きなびっくりカボチャ,装備強化気絶率アップ,農業巨大化（冬だと1.5倍、夏だと0.5倍）,7,0,7,,,,,
38,大きなキングキャベツ,装備強化気絶率アップ,農業巨大化（冬だと1.5倍、夏だと0.5倍）,7,0,7,,,,,
39,大きな超ジャガイモ,装備強化気絶率アップ,農業巨大化（冬だと1.5倍、夏だと0.5倍）,7,0,7,,,,,
40,物体X,能力反転用,薬学台での失敗,7,0,7,,,,,
41,小さな結晶,材料,クリスタルショップ / ハインツ交易品,,,0,,,,,
42,大きな結晶,装備強化属性の打ち消し,クリスタルショップ / ハインツ交易品,,,0,,,,,
43,三相胞子,装備強化吸収耐性アップ、テツヤリング材料,ドロップ不明だが中確率（デスファンガス、）,3,0,3,,,,,
44,キレイな虫の皮,ヘビィブーツ材料,ドロップ不明だが10%前後（クイーンビー、ホーネット）、生産（ジャイアントバグ）,1,0,1,,,,,
45,おおきなカブ,装備強化愛耐性アップ,農業巨大化,,,,,,,,
46,四つ葉のクローバー,コモンドロップ率アップ,花屋 / 農業（春、秋だと1.5倍、夏だと0.5倍）,,,,,,,,
47,四つ葉の大クローバー,コモンドロップ率アップ,農業巨大化（春、秋だと1.5倍、夏だと0.5倍）,,,,,,,,
